iter	Passed	Remaining
404	7092	10420
405	7107	10398
406	7122	10377
407	7137	10356
408	7152	10335
409	7168	10315
410	7183	10294
411	7199	10275
412	7215	10254
413	7233	10239
414	7248	10217
415	7265	10199
416	7280	10179
417	7298	10161
418	7312	10139
419	7330	10122
420	7344	10100
421	7358	10079
422	7373	10057
423	7390	10039
424	7405	10018
425	7422	10001
426	7437	9979
427	7453	9961
428	7469	9941
429	7484	9921
430	7499	9900
431	7513	9879
432	7529	9859
433	7543	9838
434	7558	9817
435	7573	9797
436	7589	9778
437	7604	9757
438	7622	9741
439	7637	9720
440	7655	9704
441	7671	9684
442	7688	9667
443	7709	9654
444	7728	9638
445	7745	9621
446	7762	9602
447	7778	9583
448	7793	9563
449	7808	9543
450	7824	9524
451	7838	9503
452	7852	9482
453	7866	9460
454	7881	9441
455	7895	9419
456	7909	9398
457	7924	9377
458	7938	9357
459	7953	9337
460	7968	9316
461	7982	9296
462	7997	9275
463	8011	9255
464	8026	9234
465	8040	9213
466	8055	9193
467	8070	9173
468	8084	9153
469	8099	9133
470	8113	9112
471	8128	9092
472	8143	9073
473	8158	9053
474	8175	9036
475	8190	9016
476	8206	8998
477	8222	8979
478	8238	8961
479	8254	8942
480	8270	8923
481	8285	8903
482	8301	8885
483	8316	8866
484	8334	8849
485	8353	8834
486	8370	8817
487	8386	8798
488	8402	8780
489	8417	8760
490	8433	8742
491	8449	8724
492	8465	8706
493	8481	8687
494	8496	8668
495	8511	8649
496	8527	8630
497	8543	8611
498	8558	8592
499	8572	8572
500	8587	8552
501	8601	8532
502	8616	8513
503	8630	8493
504	8644	8473
505	8659	8453
506	8674	8434
507	8689	8415
508	8703	8396
509	8719	8377
510	8735	8359
511	8750	8340
512	8765	8321
513	8781	8302
514	8797	8284
515	8812	8266
516	8828	8248
517	8844	8229
518	8860	8212
519	8877	8194
520	8893	8176
521	8909	8158
522	8925	8140
523	8940	8121
524	8956	8103
525	8972	8085
526	8988	8067
527	9004	8049
528	9020	8031
529	9037	8014
530	9054	7997
531	9069	7978
532	9084	7959
533	9100	7941
534	9116	7923
535	9130	7904
536	9146	7886
537	9161	7867
538	9178	7850
539	9193	7831
540	9208	7813
541	9223	7793
542	9238	7775
543	9253	7756
544	9267	7737
545	9283	7718
546	9298	7700
547	9313	7681
548	9327	7662
549	9342	7644
550	9357	7624
551	9372	7606
552	9387	7588
553	9402	7569
554	9416	7549
555	9430	7531
556	9446	7512
557	9461	7494
558	9476	7476
559	9490	7456
560	9504	7437
561	9519	7419
562	9535	7401
563	9549	7382
564	9563	7363
565	9578	7344
566	9593	7325
567	9607	7307
568	9622	7288
569	9642	7273
570	9661	7258
571	9680	7243
572	9699	7228
573	9723	7216
574	9742	7200
575	9757	7182
576	9774	7165
577	9790	7148
578	9805	7129
579	9820	7111
580	9835	7093
581	9850	7074
582	9868	7058
583	9886	7042
584	9904	7026
585	9922	7009
586	9938	6992
587	9953	6974
588	9971	6958
589	9987	6940
590	10007	6925
591	10024	6908
592	10044	6893
593	10061	6877
594	10079	6860
595	10097	6844
596	10114	6827
597	10133	6811
598	10150	6794
599	10169	6779
600	10185	6761
601	10201	6744
602	10215	6725
603	10231	6707
604	10246	6689
605	10262	6672
606	10277	6654
607	10292	6636
608	10308	6618
609	10325	6601
610	10339	6582
611	10355	6565
612	10370	6547
613	10386	6529
614	10400	6511
615	10415	6492
616	10429	6474
617	10444	6455
618	10459	6437
619	10473	6419
620	10489	6401
621	10504	6383
622	10518	6365
623	10533	6347
624	10548	6329
625	10565	6312
626	10580	6294
627	10597	6277
628	10615	6261
629	10629	6242
630	10643	6224
631	10657	6205
632	10671	6187
633	10689	6170
634	10705	6153
635	10723	6137
636	10739	6120
637	10755	6102
638	10772	6085
639	10788	6068
640	10806	6052
641	10824	6035
642	10841	6019
643	10857	6002
644	10874	5985
645	10889	5967
646	10905	5949
647	10921	5932
648	10937	5915
649	10952	5897
650	10966	5879
651	10988	5864
652	11005	5848
653	11021	5830
654	11037	5813
655	11053	5796
656	11070	5779
657	11085	5761
658	11102	5744
659	11118	5727
660	11135	5710
661	11150	5693
662	11167	5676
663	11182	5658
664	11197	5640
665	11213	5623
666	11228	5605
667	11245	5588
668	11259	5571
669	11276	5554
670	11290	5536
671	11307	5519
672	11322	5501
673	11338	5484
674	11353	5466
675	11368	5449
676	11383	5431
677	11399	5413
678	11414	5396
679	11430	5379
680	11445	5361
681	11461	5344
682	11476	5326
683	11491	5308
684	11505	5290
685	11519	5272
686	11534	5255
687	11549	5237
688	11564	5219
689	11578	5201
690	11593	5184
691	11607	5166
692	11623	5149
693	11638	5131
694	11654	5114
695	11673	5098
696	11693	5083
697	11711	5066
698	11731	5051
699	11756	5038
700	11773	5021
701	11791	5005
702	11807	4988
703	11825	4972
704	11844	4956
705	11860	4939
706	11876	4921
707	11892	4904
708	11907	4887
709	11922	4869
710	11938	4852
711	11952	4834
712	11967	4817
713	11982	4799
714	11999	4782
715	12013	4765
716	12029	4747
717	12043	4730
718	12058	4712
719	12073	4695
720	12089	4678
721	12106	4661
722	12124	4645
723	12142	4628
724	12159	4612
725	12177	4595
726	12194	4579
727	12209	4561
728	12223	4544
729	12238	4526
730	12253	4509
731	12267	4491
732	12282	4474
733	12299	4457
734	12315	4440
735	12329	4422
736	12343	4404
737	12357	4386
738	12371	4369
739	12385	4351
740	12400	4334
741	12415	4317
742	12430	4299
743	12445	4282
744	12460	4264
745	12475	4247
746	12491	4230
747	12506	4213
748	12521	4196
749	12536	4178
750	12552	4161
751	12567	4144
752	12582	4127
753	12598	4110
754	12614	4093
755	12630	4076
756	12646	4059
757	12661	4042
758	12677	4025
759	12692	4008
760	12708	3991
761	12723	3974
762	12740	3957
763	12756	3940
764	12773	3923
765	12788	3906
766	12804	3889
767	12820	3872
768	12835	3855
769	12851	3838
770	12866	3821
771	12881	3804
772	12896	3787
773	12911	3770
774	12927	3753
775	12942	3736
776	12957	3718
777	12972	3701
778	12987	3684
779	13002	3667
780	13017	3650
781	13033	3633
782	13048	3616
783	13063	3599
784	13078	3582
785	13093	3564
786	13108	3547
787	13122	3530
788	13138	3513
789	13153	3496
790	13167	3479
791	13182	3461
792	13196	3444
793	13210	3427
794	13225	3410
795	13239	3393
796	13253	3375
797	13267	3358
798	13281	3341
799	13296	3324
800	13310	3306
801	13326	3290
802	13341	3273
803	13357	3256
804	13371	3239
805	13385	3221
806	13400	3204
807	13415	3187
808	13430	3170
809	13445	3153
810	13461	3137
811	13476	3120
812	13492	3103
813	13508	3086
814	13524	3069
815	13539	3053
816	13556	3036
817	13571	3019
818	13588	3003
819	13604	2986
820	13620	2969
821	13638	2953
822	13653	2936
823	13668	2919
824	13684	2902
825	13699	2885
826	13714	2868
827	13729	2852
828	13743	2834
829	13757	2817
830	13772	2800
831	13786	2783
832	13800	2766
833	13815	2749
834	13829	2732
835	13843	2715
836	13857	2698
837	13872	2681
838	13886	2664
839	13900	2647
840	13915	2630
841	13929	2613
842	13942	2596
843	13956	2579
844	13970	2562
845	13984	2545
846	13998	2528
847	14012	2511
848	14028	2495
849	14042	2478
850	14057	2461
851	14071	2444
852	14085	2427
853	14102	2410
854	14120	2394
855	14138	2378
856	14158	2362
857	14180	2346
858	14196	2330
859	14212	2313
860	14227	2296
861	14241	2279
862	14257	2263
863	14274	2246
864	14292	2230
865	14310	2214
866	14327	2197
867	14345	2181
868	14361	2164
869	14379	2148
870	14393	2131
871	14412	2115
872	14433	2099
873	14452	2083
874	14468	2066
875	14484	2050
876	14499	2033
877	14514	2016
878	14530	2000
879	14548	1983
880	14566	1967
881	14582	1950
882	14599	1934
883	14614	1917
884	14629	1901
885	14644	1884
886	14666	1868
887	14681	1851
888	14695	1834
889	14710	1818
890	14725	1801
891	14739	1784
892	14754	1767
893	14768	1751
894	14783	1734
895	14799	1717
896	14814	1701
897	14829	1684
898	14844	1667
899	14867	1651
900	14886	1635
901	14900	1618
902	14915	1602
903	14929	1585
904	14943	1568
905	14958	1551
906	14972	1535
907	14987	1518
908	15001	1501
909	15016	1485
910	15030	1468
911	15045	1451
912	15059	1435
913	15074	1418
914	15088	1401
915	15103	1384
916	15117	1368
917	15131	1351
918	15146	1334
919	15161	1318
920	15175	1301
921	15190	1285
922	15205	1268
923	15219	1251
924	15235	1235
925	15252	1218
926	15270	1202
927	15288	1186
928	15305	1169
929	15321	1153
930	15336	1136
931	15351	1120
932	15366	1103
933	15382	1086
934	15397	1070
935	15413	1053
936	15428	1037
937	15443	1020
938	15458	1004
939	15472	987
940	15488	971
941	15507	954
942	15523	938
943	15541	921
944	15559	905
945	15575	889
946	15590	872
947	15605	856
948	15620	839
949	15634	822
950	15649	806
951	15663	789
952	15677	773
953	15692	756
954	15706	740
955	15720	723
956	15734	706
957	15748	690
958	15762	673
959	15776	657
960	15791	640
961	15806	624
962	15820	607
963	15836	591
964	15853	574
965	15870	558
966	15884	542
967	15898	525
968	15912	509
969	15927	492
970	15941	476
971	15955	459
972	15970	443
973	15984	426
974	15998	410
975	16012	393
976	16029	377
977	16046	360
978	16064	344
979	16082	328
980	16099	311
981	16114	295
982	16128	278
983	16142	262
984	16158	246
985	16172	229
986	16186	213
987	16200	196
988	16216	180
989	16230	163
990	16243	147
991	16257	131
992	16271	114
993	16285	98
994	16298	81
995	16312	65
996	16329	49
997	16346	32
998	16363	16
999	16379	0
