iter	Logloss
0	0.6632045339
1	0.6349448831
2	0.6096207397
3	0.5881387436
4	0.5671929515
5	0.548146125
6	0.5300838267
7	0.5138587943
8	0.4993761652
9	0.485413534
10	0.4729758087
11	0.4613463877
12	0.4511030962
13	0.4414081027
14	0.4336653673
15	0.425891504
16	0.4184224561
17	0.4110565053
18	0.4041430505
19	0.3979595289
20	0.3922487827
21	0.3871593972
22	0.382290034
23	0.3780000786
24	0.3735697943
25	0.3703564775
26	0.3666239336
27	0.3631619776
28	0.3597623136
29	0.3564252546
30	0.3534335492
31	0.3513883246
32	0.3487746012
33	0.3467826601
34	0.3448019444
35	0.3424000066
36	0.3406573521
37	0.3393423895
38	0.337444385
39	0.3352552374
40	0.3340410799
41	0.3322604414
42	0.3306784426
43	0.3289677882
44	0.3278584258
45	0.32666584
46	0.325582452
47	0.3240263492
48	0.3227514126
49	0.321704777
50	0.3208218876
51	0.3194454324
52	0.3184594438
53	0.3178266446
54	0.3166899121
55	0.3158492176
56	0.3148858972
57	0.3136458073
58	0.3128587538
59	0.31200352
60	0.3114652777
61	0.3104263132
62	0.3097177643
63	0.3092324138
64	0.3083936595
65	0.3074050519
66	0.3068068008
67	0.3061436947
68	0.3055021845
69	0.3042377163
70	0.3034275878
71	0.3028640611
72	0.3021542703
73	0.3016325434
74	0.3008835242
75	0.3001850124
76	0.2996451539
77	0.2991601108
78	0.2986617221
79	0.2982268469
80	0.2978537384
81	0.2973364236
82	0.2968897666
83	0.2963950569
84	0.2960756749
85	0.2950829138
86	0.2942097831
87	0.2937215722
88	0.2931093808
89	0.2922670354
90	0.2916334666
91	0.291107433
92	0.2906371141
93	0.2903475164
94	0.2900498449
95	0.2897153996
96	0.2889830209
97	0.2884110626
98	0.2877046916
99	0.2873129301
100	0.2867939525
101	0.2863149179
102	0.2857650062
103	0.2853709224
104	0.2845732383
105	0.2841836694
106	0.2836439201
107	0.2833130967
108	0.2828032079
109	0.2823297528
110	0.282071942
111	0.2816666568
112	0.2810549833
113	0.2807999719
114	0.2803823219
115	0.2797685396
116	0.2795277022
117	0.2792714152
118	0.2790482185
119	0.2786868828
120	0.2782702736
121	0.2778415851
122	0.2773661999
123	0.2768572594
124	0.2766017493
125	0.2760942443
126	0.2756954237
127	0.2754812671
128	0.2751448626
129	0.2748585598
130	0.2745115167
131	0.2742651792
132	0.2738001074
133	0.2734584499
134	0.2731158047
135	0.2728672702
136	0.2724170791
137	0.2721841319
138	0.2718656005
139	0.2716985745
140	0.2713434056
141	0.2709070128
142	0.2700870021
143	0.2698053551
144	0.2694580157
145	0.2691669011
146	0.268893017
147	0.2686594937
148	0.2683664434
149	0.2681035269
150	0.267813942
151	0.2675118546
152	0.2673614617
153	0.2669858426
154	0.2666505973
155	0.2662491273
156	0.2656144929
157	0.2652423924
158	0.2648874571
159	0.2645214236
160	0.2642358481
161	0.2640126289
162	0.2636572345
163	0.2633071231
164	0.2629661138
165	0.2627355964
166	0.262219356
167	0.2619599971
168	0.2616103437
169	0.2610782156
170	0.2608316852
171	0.2605486724
172	0.2603902634
173	0.2600422781
174	0.2596824678
175	0.2594209666
176	0.2591451922
177	0.2589844737
178	0.258629061
179	0.2582945046
180	0.2580786694
181	0.2577972561
182	0.2574864335
183	0.2572663626
184	0.2569567091
185	0.2567818198
186	0.256572411
187	0.2562605979
188	0.255997888
189	0.2557150442
190	0.2554489861
191	0.2552787163
192	0.2549557967
193	0.2548170965
194	0.2546453998
195	0.2544970212
196	0.2542379442
197	0.2540709705
198	0.2538017185
199	0.2535185156
200	0.2532564183
201	0.2529608359
202	0.2526313257
203	0.2523661355
204	0.2521799558
205	0.2517855078
206	0.2513284746
207	0.2511141825
208	0.2507462085
209	0.2505747604
210	0.2503827626
211	0.2501747939
212	0.2499371099
213	0.2497744007
214	0.2495809419
215	0.2493374333
216	0.2490294041
217	0.2488615974
218	0.2486806127
219	0.2483978738
220	0.2481899735
221	0.2480083314
222	0.247778763
223	0.2474374193
224	0.2472442921
225	0.2469803899
226	0.2467949801
227	0.2465727318
228	0.2461321124
229	0.245908793
230	0.245657426
231	0.2454252809
232	0.2451996671
233	0.2449363036
234	0.244769035
235	0.2445406742
236	0.2443494037
237	0.2441984793
238	0.244000125
239	0.2438459951
240	0.2436217575
241	0.2434090816
242	0.2432243761
243	0.2430687616
244	0.2429138451
245	0.2426878958
246	0.2423665234
247	0.2421835954
248	0.2419775999
249	0.2417290016
250	0.2415278847
251	0.2413525988
252	0.2411735724
253	0.2409425652
254	0.2407578041
255	0.2406430436
256	0.2403658954
257	0.2401241684
258	0.2399993917
259	0.2398040549
260	0.2395881114
261	0.2393980521
262	0.2391340565
263	0.2388247812
264	0.238619996
265	0.2384393764
266	0.2382275625
267	0.238048775
268	0.2378049256
269	0.2375529411
270	0.237333283
271	0.2372163635
272	0.2370849685
273	0.2368555805
274	0.2366708888
275	0.2364259037
276	0.2362733456
277	0.2361615623
278	0.2360095147
279	0.2358264464
280	0.2356447859
281	0.2354145839
282	0.235228883
283	0.2350091921
284	0.2346530353
285	0.2345142158
286	0.2343575693
287	0.2341233929
288	0.2338827939
289	0.2337702139
290	0.233534926
291	0.2332507434
292	0.2330192832
293	0.2327657551
294	0.2326312108
295	0.2323353101
296	0.232052817
297	0.2318402986
298	0.2316940608
299	0.2314697009
300	0.231343156
301	0.2312172691
302	0.2311065888
303	0.230952042
304	0.2308233689
305	0.2306011199
306	0.2304421125
307	0.2303171615
308	0.2301887077
309	0.2300613424
310	0.229761286
311	0.2295124328
312	0.2293675676
313	0.2291972939
314	0.2289328935
315	0.2287301071
316	0.2285519629
317	0.2283487502
318	0.2281945198
319	0.2279702143
320	0.2275894676
321	0.2274234712
322	0.2271815392
323	0.2269670937
324	0.2268571221
325	0.2267285842
326	0.2263360576
327	0.2261149689
328	0.2258213939
329	0.2257154485
330	0.2255817785
331	0.2254725092
332	0.2252865542
333	0.2250981953
334	0.2248218901
335	0.2246985797
336	0.2245029712
337	0.2242375301
338	0.2240479213
339	0.223788681
340	0.223651881
341	0.2234621825
342	0.2233284662
343	0.2231216902
344	0.2228547957
345	0.2225278745
346	0.2223140253
347	0.2219677248
348	0.2217151497
349	0.2215008223
350	0.2213249489
351	0.2208889187
352	0.2207274097
353	0.2205539171
354	0.22027652
355	0.2201355083
356	0.2200348316
357	0.2197542028
358	0.2195200641
359	0.2193168263
360	0.2191256701
361	0.2188008226
362	0.2185450324
363	0.2182606555
364	0.218161737
365	0.2179837525
366	0.2176855266
367	0.2175340885
368	0.2173861526
369	0.2172670051
370	0.21715321
371	0.2169187134
372	0.2167570185
373	0.2165245848
374	0.2162620885
375	0.2160491606
376	0.2159372489
377	0.2157527323
378	0.2156328587
379	0.2153627858
380	0.215117646
381	0.2148684118
382	0.2145429315
383	0.2144038566
384	0.2140967076
385	0.2137410825
386	0.2134859122
387	0.2133542882
388	0.2131724897
389	0.2129912451
390	0.2129025331
391	0.2126303448
392	0.2124932319
393	0.2123844731
394	0.2122719668
395	0.2120619086
396	0.2119549251
397	0.211780413
398	0.2116412069
399	0.211533607
400	0.2114313793
401	0.2112214133
402	0.2109801314
403	0.210789443
404	0.2106300118
405	0.2104685307
406	0.2103097716
407	0.2101507835
408	0.2100400984
409	0.2098668361
410	0.2097897701
411	0.2095595847
412	0.2094028171
413	0.2091888074
414	0.2090463531
415	0.2088388717
416	0.2086322194
417	0.2084702693
418	0.2083428869
419	0.2081976343
420	0.208120596
421	0.2079923263
422	0.2078428712
423	0.2076916917
424	0.2074882803
425	0.2072905087
426	0.2070567043
427	0.2067922155
428	0.2066519344
